merge_tool;repo_name;merge_commit;runtime
IntelliMerge;antlr4;93beb6e4aeaeed3971806122001a582104629d9b;14475
IntelliMerge;antlr4;e5e4402ea9cf2901d34539991d079e1ea7baef45;2940
IntelliMerge;antlr4;0690034ff1a5eb47df87a78127e905b7cd168dda;7006
IntelliMerge;antlr4;847fc59078ef99b556609a4725970ef1b7958097;301
IntelliMerge;antlr4;7aa769bdbd3f30cfc6b6de11a93b71a7e0fd51d8;11413
IntelliMerge;antlr4;11571aebf7dcf140acca7bfec92e9c01a92353b9;10761
IntelliMerge;antlr4;39cfea5c2115f2b3904765b6ebca1eb574563159;1857
IntelliMerge;antlr4;18f5354d1b956733dabc3225c8dda719ce41291e;1858
IntelliMerge;antlr4;38ad593dd821b9c76841795032a2f19c7a7a0cc4;15643
IntelliMerge;antlr4;0ad6674e0283233ee6ac71c0ab306a64d4fe39c0;39722
IntelliMerge;antlr4;35c384169ffadc5b21c66ee3a8e444760adcd4a9;1931
IntelliMerge;antlr4;617ef68dbaca746eb188b5f0e2e047455dd3bab7;1403
IntelliMerge;antlr4;037120126a99b357caecc167e8098f87c6f07f4d;820
IntelliMerge;antlr4;e077b44a1555d39c2ab96e6ff7332715a215106d;11782
IntelliMerge;antlr4;3d398ab1e6565211c1d02ab474b9a66391a3b707;2159
IntelliMerge;antlr4;cb8d9fdc61cb1281ef2f6e6994cdb64da7d6c483;2763
IntelliMerge;antlr4;a760c879fffe935c1f66820a3bef52b3c9458d01;6710
IntelliMerge;antlr4;de42236304cafc2ad992fb7eba8f14a9600bd417;71474
IntelliMerge;antlr4;1d794b96180f6d21c66b8de39cf43f5627e6b361;2402
IntelliMerge;antlr4;7d46ea7033a215ae6e36a2c09079ee4fb36a6938;976
IntelliMerge;antlr4;73468937aed95aa52b5ef6eb66ac83e350677ff0;39418
IntelliMerge;antlr4;1fa35c74cc7cc62ffa09435ba301aaf63c49d93b;287
IntelliMerge;antlr4;f5f1eac3af721c24eb01451f1c2df3a33280fa0a;17218
IntelliMerge;antlr4;aa6e4af489fac1f9decfa314668888b38f69223b;15432
IntelliMerge;antlr4;768c43d8200c3a67e1f96c1859c531e4786cca70;69938
IntelliMerge;antlr4;6ae1f81cb1a733229f0583287853cdf584b6494b;134
IntelliMerge;antlr4;2d62b73a14f360a14ad51162e82f923453082d8f;50
IntelliMerge;antlr4;77f2ff7b0d84453f9dd19873c5a97ffb2ab2cdc0;151
IntelliMerge;antlr4;a4eb7f114db03c1dc37efe190c4b3edca156b73f;12176
IntelliMerge;antlr4;492980de71f30014fd5d4c23712cc18abfbc8555;1597
IntelliMerge;antlr4;f07bfeccb271301de535b19fef49e63096ff2822;15095
IntelliMerge;antlr4;5d4b2b613515350b861a7d28c2318b5d972f7eb6;319
IntelliMerge;antlr4;7bdca13f1a8db8691358c7a1697f48b42acba778;78
IntelliMerge;antlr4;b198fb34d092d7acd5b9b3c070ace224117ad953;455
IntelliMerge;antlr4;9bb84589ab8f0e46dc4ce8bdb94f4929c15dc908;3551
IntelliMerge;antlr4;2d9d4ae9f66dca486e637f8585530226f3d79b64;11129
IntelliMerge;antlr4;fa11306e588bff8556a716f272141b4c8a943517;12649
IntelliMerge;antlr4;9ef61279829dcee16823f8c8b2ced9159c0dd026;327
IntelliMerge;antlr4;25046d23e6096e15ce9293f2863b1cf8b01de0be;337
IntelliMerge;antlr4;c9ead1974c323cc35bcd717e77759b488cbdf28b;555
IntelliMerge;antlr4;6791bf60cf90524ab0b480b1c26c49c5af19389a;173
IntelliMerge;antlr4;5583c91fac1971506f462376e6d6088de8d8ccf8;11068
IntelliMerge;antlr4;d06687f3ea133c53fdf705ed6b33c3de32b2eeed;8230
IntelliMerge;antlr4;e672a7116e545b025a995d18ff149b8de9e22213;129
IntelliMerge;antlr4;8e7452b020ecbab35492a56d111b02b27e5962aa;11155
IntelliMerge;antlr4;cb9e099d95482fbf44dc253f168a78bbe91a5b1d;9660
IntelliMerge;antlr4;8ecad42feea2512892d049167fa27ea57ac86e6a;11912
IntelliMerge;antlr4;54c736909d43263874718ea241e1d80a7e93abe1;9842
IntelliMerge;antlr4;1ac9509542418f48777d3e2f700d3fada5422896;167
IntelliMerge;antlr4;1d96e9055bf343e4c4397b6d5adbba02ca24bca5;17197
IntelliMerge;antlr4;533c0efefef2a828fa24a72cb0dd6d6af77c6b76;164
IntelliMerge;antlr4;35ab203cbaa1160dc9f99553a301d0edbfd18eaa;9701
IntelliMerge;antlr4;f81a099df6e825861a3cbe6b918eca2a421dbfad;20497
IntelliMerge;antlr4;7d5371b869ea3abee9f8612992c5bcdc527d05a6;5408
IntelliMerge;antlr4;afc596421973a855dd1b85a406701937a8ac2870;572
JFSTMerge;antlr4;ccad5bd9bcb8bd3df866d0d89ea4040b23beca77;2332
JFSTMerge;antlr4;3b3fe3da579275b3a1bee91d0914a8b76b356615;5102
JFSTMerge;antlr4;6d022379bcf9e8033f2ef9f67f7718f9f0662fc5;374
JFSTMerge;antlr4;0782fc64274f997716b855948aef501d89230239;32573
JFSTMerge;antlr4;ad7271d3196af7d308cac39ed97a10436080d116;7069
JFSTMerge;antlr4;a86458f96e84e30683a363001aa56cfa19b5b110;1837
JFSTMerge;antlr4;8f7e48acf2bf753594c1c15972ecae0d8f18d6e8;3296
JFSTMerge;antlr4;cc31e756ea0b196ddf6b6e6a416087eda97b0f04;1702
JFSTMerge;antlr4;fbe0f0e2f385b769e6f39518b7280ddd4ff80de1;1456
JFSTMerge;antlr4;2356357b8b176f19f7cbf4b06fea184c8bb9525b;1881
JFSTMerge;antlr4;c677cab8d018c433e5b170e060c79301f5c02bd5;1596
JFSTMerge;antlr4;aae2183f03d0104fc4e119c31b62adee6f602a81;2411
JFSTMerge;antlr4;f1e98fb43883c8d912e01e04b754234726a228e2;2452
JFSTMerge;antlr4;45f30dfaaed3e9b70c2318bfd58be207798621d7;1948
JFSTMerge;antlr4;c002f060c352ed10f31a9f402f908d6e773ee9b4;2188
JFSTMerge;antlr4;8622299e7bc789e56b5b9b0970b96ea2ba5693c0;3326
JFSTMerge;antlr4;f0b490ae7e4b78d32d1fe8a45ba2282371efc167;5740
JFSTMerge;antlr4;e663f72227867916844671bd91cc36b79f33cbbd;468
JFSTMerge;antlr4;966ac8955cbe0f3fe9f727bd4ac44c924ef57cf5;11693
JFSTMerge;antlr4;e99b5a4c47193ce25948f4abf7ee84682b3219a5;13791
JFSTMerge;antlr4;07866de9fb84f33cb3c84ff4c401b379387571cb;10903
JFSTMerge;antlr4;0f7d498ebb83af6bd5bb25f2feb61de45723e7de;2975
JFSTMerge;antlr4;1ffc88dac62165c2963df337c7896f6914384f16;11644
JFSTMerge;antlr4;b7f9cccd99cd03aceee283b61c8190a02013acfd;2451
JFSTMerge;antlr4;3b47240b199832690efb648b6f5c41abcd186143;486
JFSTMerge;antlr4;acf69f62b47c9c5eccd2234cd19045f6ff979db6;873
JFSTMerge;antlr4;1d73c70b7cc5fcb61aaee999e675ea27f93a143a;2659
JFSTMerge;antlr4;689052d697fdb37b6ddf7fd47527f9f25240d7e7;2012
JFSTMerge;antlr4;d547777f79bba7db1254a27b8e5f71595ef0067f;6495
JFSTMerge;antlr4;c2a3d0694a49728d6eea04fd8c056d522687e1ad;1350
JFSTMerge;antlr4;59ef3c51a33839f9193432a66fd7d6a5ce98f60c;2179
JFSTMerge;antlr4;007b702d59061c425dc9ed2a410eba4764c67f4a;6245
JFSTMerge;antlr4;93beb6e4aeaeed3971806122001a582104629d9b;1840
JFSTMerge;antlr4;e5e4402ea9cf2901d34539991d079e1ea7baef45;1716
JFSTMerge;antlr4;0690034ff1a5eb47df87a78127e905b7cd168dda;4806
JFSTMerge;antlr4;847fc59078ef99b556609a4725970ef1b7958097;965
JFSTMerge;antlr4;7aa769bdbd3f30cfc6b6de11a93b71a7e0fd51d8;1409
JFSTMerge;antlr4;11571aebf7dcf140acca7bfec92e9c01a92353b9;2468
JFSTMerge;antlr4;39cfea5c2115f2b3904765b6ebca1eb574563159;2827
JFSTMerge;antlr4;18f5354d1b956733dabc3225c8dda719ce41291e;1072
JFSTMerge;antlr4;38ad593dd821b9c76841795032a2f19c7a7a0cc4;7154
JFSTMerge;antlr4;0ad6674e0283233ee6ac71c0ab306a64d4fe39c0;4784
JFSTMerge;antlr4;35c384169ffadc5b21c66ee3a8e444760adcd4a9;1710
JFSTMerge;antlr4;617ef68dbaca746eb188b5f0e2e047455dd3bab7;1960
JFSTMerge;antlr4;037120126a99b357caecc167e8098f87c6f07f4d;3010
JFSTMerge;antlr4;e077b44a1555d39c2ab96e6ff7332715a215106d;2257
JFSTMerge;antlr4;3d398ab1e6565211c1d02ab474b9a66391a3b707;1471
JFSTMerge;antlr4;cb8d9fdc61cb1281ef2f6e6994cdb64da7d6c483;1230
JFSTMerge;antlr4;a760c879fffe935c1f66820a3bef52b3c9458d01;3254
JFSTMerge;antlr4;de42236304cafc2ad992fb7eba8f14a9600bd417;9457
JFSTMerge;antlr4;1d794b96180f6d21c66b8de39cf43f5627e6b361;1821
JFSTMerge;antlr4;7d46ea7033a215ae6e36a2c09079ee4fb36a6938;2834
JFSTMerge;antlr4;73468937aed95aa52b5ef6eb66ac83e350677ff0;5281
JFSTMerge;antlr4;1fa35c74cc7cc62ffa09435ba301aaf63c49d93b;1501
